;Basel;Bellinzona;Bern;Chur;Genf;Interlaken;Kreuzlingen;Lausanne;Locarno;Lugano;Luzern;Neuenburg;Sankt Gallen;Schaffhausen;Thun;Winterthur;Zug;Zurich
Basel;;-;101;-;-;-;-;-;-;-;99.9;128;-;98.8;-;-;-;88.2
Bellinzona;;;-;116;-;-;-;-;23.1;30.6;140;-;-;-;-;-;-;-
Bern;;;;-;-;-;-;93;-;-;98.6;51.6;-;-;28.5;-;-;125
Chur;;;;;-;-;128;-;-;-;-;-;103;-;-;-;111;119
Genf;;;;;;-;-;63.3;-;-;-;-;-;-;-;-;-;-
Interlaken;;;;;;;-;-;-;-;68.2;-;-;-;30.8;-;-;-
Kreuzlingen;;;;;;;;-;-;-;-;-;35;-;-;42.3;-;-
Lausanne;;;;;;;;;-;-;-;72.8;-;-;-;-;-;-
Locarno;;;;;;;;;;-;-;-;-;-;-;-;-;-
Lugano;;;;;;;;;;;-;-;-;-;-;-;-;-
Luzern;;;;;;;;;;;;-;-;-;-;-;31.1;-
Neuenburg;;;;;;;;;;;;;-;-;-;-;-;-
Sankt Gallen;;;;;;;;;;;;;;-;-;62.1;112;-
Schaffhausen;;;;;;;;;;;;;;;-;28.4;-;-
Thun;;;;;;;;;;;;;;;;-;-;-
Winterthur;;;;;;;;;;;;;;;;;-;24.3
Zug;;;;;;;;;;;;;;;;;;32.4
Zurich;;;;;;;;;;;;;;;;;;
